"job_title","job_link","area","industry","date_posted","search_term","salary","state","salary_annual","weekday"
"Data Engineer","/job/68243203?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist","Increase take home pay with Salary Packaging","QLD",NA,"Tuesday"
"Data Engineer","/job/68212479?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-19 19:35:00,"data-scientist","$115 - $130 p.a. +Superannuation","VIC",115,"Monday"
"Senior Data Engineer","/job/68242001?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist","$105,479 - $127,621 p.a. plus superannuation","VIC",105479,"Tuesday"
"Data Engineer","/job/68178383?type=standout","Adelaide SA","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist",NA,"SA",NA,"Friday"
"Senior Data Engineer - Data & Analytics","/job/68211585?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-19 19:35:00,"data-scientist",NA,"VIC",NA,"Monday"
"Senior Data Scientist","/job/68057533?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist",NA,"VIC",NA,"Friday"
"Data Engineers, Competitive Intelligence and Analytics","/job/68296105?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist","$126,502 to $140,431 p.a.","NSW",126502,"Thursday"
"Head of Data Science","/job/68114413?type=standard","Sydney NSW","(Banking & Financial Services)",2023-06-13 19:35:00,"data-scientist","$180k - $200k p.a. + + super","NSW",180,"Tuesday"
"Senior Data Engineer | AWS, Snowflake, Matillion","/job/68303842?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist","$140-150k+Super+Bonus","QLD",140,"Thursday"
"Data Engineer","/job/68139591?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-14 19:35:00,"data-scientist",NA,"NSW",NA,"Wednesday"
"Senior Data Engineer","/job/68295959?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist",NA,"VIC",NA,"Thursday"
"Data Engineer - 12 Months","/job/68311742?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Data Engineer","/job/68194491?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Data Analyst/Statistician","/job/68267273?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Lead Data Engineer","/job/68238764?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist",NA,"NSW",NA,"Tuesday"
"Data Engineer AI Developer","/job/68226310?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-19 19:35:00,"data-scientist","$111,595 to $124,315 plus super and leave loading","NSW",111595,"Monday"
"Lead Data Engineer","/job/68238763?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist",NA,"NSW",NA,"Tuesday"
"Senior Data Scientist","/job/68222933?type=promoted","Melbourne VIC","(Accounting)",NA,"data-scientist","VPS4.1 - $91,418 - $103,725 + super","VIC",91418,NA
"Early Career Hydrogeologist/Environmental Scientists","/job/68239028?type=promoted","Melbourne VIC","(Science & Technology)",NA,"data-scientist",NA,"VIC",NA,NA
"Senior Data Scientist","/job/67975764?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist",NA,"NSW",NA,"Tuesday"
"Data Engineer","/job/68278126?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist",NA,"NSW",NA,"Wednesday"
"Data Scientist","/job/67851234?type=standout","Melbourne VIC","(Science & Technology)",2023-05-31 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Senior Machine Learning Engineer","/job/68026674?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-08 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Azure Data Specialist","/job/68311699?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"VIC",NA,"Friday"
"Lead Data Engineer","/job/68238765?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist",NA,"NSW",NA,"Tuesday"
"Consultant - AI and Analytics","/job/68323810?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Data Engineer","/job/68230608?type=standard","Canberra ACT","(Information & Communication Technology)",2023-06-19 19:35:00,"data-scientist",NA,"ACT",NA,"Monday"
"Data Engineer","/job/68188094?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Azure Data Engineer","/job/68313987?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"VIC",NA,"Friday"
"Senior Data Engineer","/job/68296363?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist","$150k - $190k p.a.","NSW",150,"Thursday"
"Business Intelligence Data Engineer","/job/68219795?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-19 19:35:00,"data-scientist",NA,"VIC",NA,"Monday"
"Data Engineer","/job/68148960?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-15 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Senior Machine Learning Engineer","/job/68049323?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist","$130,000 - $150,000 + Bonus + Super","NSW",130000,"Friday"
"Azure Data Engineer","/job/68268607?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist","$110,000 – $120,000 per year","NSW",110000,"Wednesday"
"Data Engineer","/job/68165021?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-15 19:35:00,"data-scientist",NA,"QLD",NA,"Thursday"
"Data Engineer / Analyst - SQL - Growing team in successful company - WFH","/job/68315467?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Data Scientist","/job/67880822?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-01 19:35:00,"data-scientist",NA,"VIC",NA,"Thursday"
"Cloud Data Engineer","/job/68209692?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-19 19:35:00,"data-scientist",NA,"NSW",NA,"Monday"
"Data Platform Engineer","/job/68266709?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Assistant Director (PEL1), various branches","/job/68300988?type=promoted","Canberra ACT","(Government & Defence)",NA,"data-scientist",NA,"ACT",NA,NA
"Data Engineer","/job/68136971?type=standout","Adelaide SA","(Information & Communication Technology)",2023-06-14 19:35:00,"data-scientist",NA,"SA",NA,"Wednesday"
"Analytics and Data Science Contract! Remote Friendly from Syd, Melb, Bris","/job/68011840?type=standout","Sydney NSW","(Science & Technology)",2023-06-08 19:35:00,"data-scientist","$750-$950 Per Day","NSW",750,"Thursday"
"Senior Data Engineer - 12 months -  Government","/job/68292025?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Senior Data Engineer","/job/68282435?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist","Competitive salary + free lunches + perks galore!","VIC",NA,"Wednesday"
"Senior Data Engineer","/job/68281859?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist",NA,"NSW",NA,"Wednesday"
"AWS Data Engineer (108685BR)","/job/68240228?type=standard","Perth WA","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist",NA,"WA",NA,"Tuesday"
"Data Engineer","/job/67993424?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist",NA,"NSW",NA,"Wednesday"
"Pricing Data Scientist","/job/67906435?type=standout","Brisbane QLD","(Insurance & Superannuation)",2023-06-02 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Data Engineer","/job/68126312?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-14 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Senior Data Engineer","/job/68298408?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist","Competitive Daily Rate","NSW",NA,"Thursday"
"Senior Data Engineer","/job/68319517?type=standout","Canberra ACT","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"ACT",NA,"Friday"
"Senior Data Scientist","/job/67839300?type=standout","Sydney NSW","(Information & Communication Technology)",2023-05-31 19:35:00,"data-scientist",NA,"NSW",NA,"Wednesday"
"Senior Data Engineer","/job/68142297?type=standout","Sydney NSW","(Insurance & Superannuation)",2023-06-14 19:35:00,"data-scientist","$150k - $165k p.a.","NSW",150,"Wednesday"
"Lead Data Engineer","/job/68156187?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-15 19:35:00,"data-scientist","Up to 170k + super","NSW",NA,"Thursday"
"Data Engineer","/job/68182472?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist","CBD/WFH hybrid, ASAP start","VIC",NA,"Friday"
"Senior Data Scientist","/job/67839276?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-05-31 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Data Engineer","/job/68057039?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist","Competitive package with annual bonus","VIC",NA,"Friday"
"Data Engineer","/job/68057143?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist","Competitive package with annual bonus","NSW",NA,"Friday"
"Data Engineer","/job/68057091?type=standout","Adelaide SA","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist","Competitive package with annual bonus","SA",NA,"Friday"
"Machine Learning Engineer - (Junior-Mid)","/job/67876563?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-01 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Metallurgical Specialist","/job/68168645?type=promoted","Brisbane QLD","(Mining, Resources & Energy)",NA,"data-scientist",NA,"QLD",NA,NA
"Senior Data Scientist - Award-winning Global Fintech","/job/67865827?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-01 19:35:00,"data-scientist","Fantastic culture and career growth opportunities","NSW",NA,"Thursday"
"Lead Data Scientist - Pricing","/job/67875177?type=standout","Melbourne VIC","(Science & Technology)",2023-06-01 19:35:00,"data-scientist",NA,"VIC",NA,"Thursday"
"Data Scientist","/job/67747946?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-05-26 19:35:00,"data-scientist","Attractive salary and benefits","VIC",NA,"Friday"
"Product Manager - Data Analytics","/job/68302941?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Senior Data Engineer","/job/68219231?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-19 19:35:00,"data-scientist",NA,"VIC",NA,"Monday"
"Data Engineer - 6-12 Month Contract","/job/68098811?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-13 19:35:00,"data-scientist",NA,"NSW",NA,"Tuesday"
"Cloud Data Engineer","/job/68193787?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist","Base Salary + 10.5% super + NFP Salary Packaging","VIC",NA,"Friday"
"Senior Data Scientist","/job/67776844?type=standout","Melbourne VIC","(Science & Technology)",2023-05-29 19:35:00,"data-scientist",NA,"VIC",NA,"Monday"
"Senior Data Engineer","/job/68259858?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Machine Learning Software Engineer","/job/68039718?type=standard","Brisbane QLD","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist","$130,000 – $140,000 per year","QLD",130000,"Friday"
"Lead Data Scientist","/job/67776866?type=standout","Melbourne VIC","(Science & Technology)",2023-05-29 19:35:00,"data-scientist",NA,"VIC",NA,"Monday"
"Data Engineering and Analytics Lead","/job/68141461?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-14 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Senior Data Engineer","/job/68254158?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist","Salary flexible based on experience","VIC",NA,"Tuesday"
"Data Ops Engineer","/job/68170484?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-15 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Principal Consultant - Data Platforms","/job/68313290?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist","Competitive Salary + Income Protection","NSW",NA,"Friday"
"Senior Biostatistician","/job/68158689?type=standout","Melbourne VIC","(Science & Technology)",2023-06-15 19:35:00,"data-scientist","$140,000 – $150,000 per year","VIC",140000,"Thursday"
"Well Integrity Data Evaluator","/job/68335779?type=standout","Gold Coast QLD","(Mining, Resources & Energy)",2023-06-24 00:35:00,"data-scientist",NA,"QLD",NA,"Saturday"
"Data Engineering Lead - Greenfield Project","/job/68159211?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-15 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Technical Lead | ABC’s Data Platforms","/job/68305875?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Senior Data Engineer","/job/68294528?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist",NA,"VIC",NA,"Thursday"
"Senior Computational Biologist","/job/68240569?type=promoted","Melbourne VIC","(Healthcare & Medical)",NA,"data-scientist","$127,000 - $137,000","VIC",127000,NA
"Research Scientist - Oat Classification","/job/68256440?type=promoted","Perth WA","(Science & Technology)",NA,"data-scientist",NA,"WA",NA,NA
"Statistician Urgently required","/job/68103470?type=standard","Melbourne VIC","(Science & Technology)",2023-06-13 19:35:00,"data-scientist","$70,000 – $90,000 per year","VIC",70000,"Tuesday"
"Data Science Lead Trainer","/job/67891606?type=standout","Perth WA","(Science & Technology)",2023-06-02 19:35:00,"data-scientist",NA,"WA",NA,"Friday"
"Technical Lead | ABC’s Data Platforms","/job/68305933?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist",NA,"QLD",NA,"Thursday"
"Data Engineer / Software Engineer","/job/68017278?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-08 19:35:00,"data-scientist","$120,000 - $140,000 base + super + bonus","NSW",120000,"Thursday"
"Senior Data Engineer - Spark & Scala","/job/68292275?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Senior Biostatistician","/job/68221711?type=standout","Sydney NSW","(Science & Technology)",2023-06-19 19:35:00,"data-scientist","Competitive salary, bonus and benefits","NSW",NA,"Monday"
"Data Engineer | 6 months | Snowflake, DBT/Azure Datafactory","/job/68154620?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-15 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Technical Lead | ABC’s Data Platforms","/job/68305903?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist",NA,"VIC",NA,"Thursday"
"Online Data Analyst - Australia","/job/67983114?type=standout","Cairns & Far North QLD","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist",NA,"QLD",NA,"Wednesday"
"ASO4 Data Engineer","/job/67985434?type=standout","Adelaide SA","(Government & Defence)",2023-06-07 19:35:00,"data-scientist","$48.35 - $49.93 p.h. + Super","SA",48,"Wednesday"
"Data Engineer","/job/67967094?type=standout","Melbourne VIC","(Science & Technology)",2023-06-06 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Data Engineering Chapter Lead - Data Products and Optimisation","/job/68281942?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist","Base Salary + Bonus + Super","NSW",NA,"Wednesday"
"Junior Data Consultant","/job/67920632?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-03 19:35:00,"data-scientist","$35 - $39.99 per hour","VIC",35,"Saturday"
"Data Engineer - 12 + 12 + 12 Months","/job/68219957?type=standout","Canberra ACT","(Information & Communication Technology)",2023-06-19 19:35:00,"data-scientist","$140+ per hour","ACT",140,"Monday"
"Graduate/Junior Data&Machine Learning Engineer - Robotics/Electronics","/job/67880369?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-01 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Machine Learning Engineer","/job/67937021?type=standout","Adelaide SA","(Engineering)",2023-06-05 19:35:00,"data-scientist","Competitive salary package on offer","SA",NA,"Monday"
"Data Engineer","/job/67953855?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist","$140,000 + Super + Bonus","QLD",140000,"Tuesday"
"Data Engineer","/job/67959016?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist","Salary commensurate to experience","NSW",NA,"Tuesday"
"Data Engineer","/job/67968395?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist",NA,"NSW",NA,"Tuesday"
"Senior Data Engineer","/job/68148663?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-15 19:35:00,"data-scientist","Base + Superannuation + Bonus","VIC",NA,"Thursday"
"Maximo Data Analyst - Water Industry","/job/68048919?type=promoted","Melbourne VIC","(Information & Communication Technology)",NA,"data-scientist",NA,"VIC",NA,NA
"Engineering Chapter Lead","/job/68239863?type=promoted","Melbourne VIC","(Information & Communication Technology)",NA,"data-scientist",NA,"VIC",NA,NA
"Data Engineer","/job/68025955?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-08 19:35:00,"data-scientist","Up to $150K + super","NSW",150,"Thursday"
"Head of Data Driven Engagement","/job/68246186?type=standout","Melbourne VIC","(Science & Technology)",2023-06-20 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Senior Data Engineer","/job/68219233?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-19 19:35:00,"data-scientist","$117324 - $141313 p.a.","NSW",117324,"Monday"
"Senior Machine Learning Scientist","/job/67895306?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-02 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Fullstack(Python Django)","/job/68308969?type=standout","Perth WA","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist","$90,000 – $130,000 per year","WA",90000,"Friday"
"Lead Analyst","/job/68009146?type=standout","Sydney NSW","(Consulting & Strategy)",2023-06-08 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Data Engineer","/job/68054206?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Azure Data Test Engineer","/job/68312064?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"VIC",NA,"Friday"
"Senior Data Engineer","/job/68050066?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist","$130k - $150k p.a. + + Super","NSW",130,"Friday"
